time,qei_theta,qei_omega_filtered,qei_alpha_estimate,reference_position,reference_velocity,reference_acceleration
1335.963,0,0,0,0,0,0
1335.964,0,0,0,0,0,0
1335.965,0,0,0,0,0,0
1335.966,0,0,0,0,0,0
1335.967,0,0,0,0,0,0
1335.968,0,0,0,0,0,0
1335.969,0,0,0,0,0,0
1335.97,0,0,0,0,0,0
1335.971,0,0,0,0,0,0
1335.972,0,0,0,0,0,0
1335.973,0,0,0,0,0,0
1335.974,0,0,0,0,0,0
1335.975,0,0,0,0,0,0
1335.976,0,0,0,0,0,0
1335.977,0,0,0,0,0,0
1335.978,0,0,0,0,0,0
1335.979,0,0,0,0,0,0
1335.98,0,0,0,0,0,0
1335.981,0,0,0,0,0,0
1335.982,0,0,0,0,0,0
1335.983,0,0,0,0,0,0
1335.984,0,0,0,0,0,0
1335.985,0,0,0,0,0,0
1335.986,0,0,0,0,0,0
1335.987,0,0,0,0,0,0
1335.988,0,0,0,0,0,0
1335.989,0,0,0,0,0,0
1335.99,0,0,0,0,0,0
1335.991,0,0,0,0,0,0
1335.992,0,0,0,0,0,0
1335.993,0,0,0,0,0,0
1335.994,0,0,0,0,0,0
1335.995,0,0,0,0,0,0
1335.996,0,0,0,0,0,0
1335.997,0,0,0,0,0,0
1335.998,0,0,0,0,0,0
1335.999,0,0,0,0,0,0
1336,0,0,0,0,0,0
1336.001,0,0,0,0,0,0
1336.002,0,0,0,0,0,0
1336.003,0,0,0,0,0,0
1336.004,0,0,0,0,0,0
1336.005,0,0,0,0,0,0
1336.006,0,0,0,0,0,0
1336.007,0,0,0,0,0,0
1336.008,0,0,0,0,0,0
1336.009,0,0,0,0,0,0
1336.01,0,0,0,0,0,0
1336.011,0,0,0,0,0,0
1336.012,0,0,0,0,0,0
1336.013,0,0,0,0,0,0
1336.014,0,0,0,0,0,0
1336.015,0,0,0,0,0,0
1336.016,0,0,0,0,0,0
1336.017,0,0,0,0,0,0
1336.018,0,0,0,0,0,0
1336.019,0,0,0,0,0,0
1336.02,0,0,0,0,0,0
1336.021,0,0,0,0,0,0
1336.022,0,0,0,0,0,0
1336.023,0,0,0,0,0,0
1336.024,0,0,0,0,0,0
1336.025,0,0,0,0,0,0
1336.026,0,0,0,0,0,0
1336.027,0,0,0,0,0,0
1336.028,0,0,0,0,0,0
1336.029,0,0,0,0,0,0
1336.03,0,0,0,0,0,0
1336.031,0,0,0,0,0,0
1336.032,0,0,0,0,0,0
1336.033,0,0,0,0,0,0
1336.034,0,0,0,0,0,0
