time,QEIdata.omega,QEIdata.theta,Voltage
0.751,3.067961693,1.546874166,12
0.752,1.533980846,1.548715115,12
0.753,3.067961693,1.550862789,12
0.754,1.533980846,1.552703738,12
0.755,1.533980846,1.554851413,12
0.756,1.533980846,1.556692243,12
0.757,3.067961693,1.559146643,12
0.758,3.067961693,1.561294317,12
0.759,1.533980846,1.564055681,12
0.76,3.067961693,1.566510081,12
0.761,1.533980846,1.56835103,12
0.762,3.067961693,1.570498705,12
0.764,1.533980846,1.572953224,12
0.765,1.533980846,1.575100899,12
0.766,3.067961693,1.578168988,12
0.767,1.533980846,1.580009937,12
0.768,1.533980846,1.582157612,12
0.769,1.533980846,1.583998561,12
0.77,1.533980846,1.586146235,12
0.771,1.533980846,1.58829391,12
0.772,3.067961693,1.590748429,12
0.773,3.067961693,1.592896104,12
0.774,3.067961693,1.594736934,12
0.775,3.067961693,1.596884608,12
0.776,1.533980846,1.599339128,12
0.777,1.533980846,1.601486802,12
0.778,1.533980846,1.603327751,12
0.78,1.533980846,1.60578227,12
0.781,1.533980846,1.60823679,12
0.782,1.533980846,1.610384464,12
0.783,3.067961693,1.612532139,12
0.784,3.067961693,1.614372969,12
0.785,1.533980846,1.616520643,12
0.786,3.067961693,1.618668318,12
0.787,1.533980846,1.621122837,12
0.788,1.533980846,1.622656941,12
0.789,1.533980846,1.625418305,12
0.79,3.067961693,1.62756598,12
0.791,1.533980846,1.629406929,12
0.792,1.533980846,1.631554604,12
0.793,3.067961693,1.633395433,12
0.794,1.533980846,1.635236382,12
0.795,1.533980846,1.637690902,12
0.796,1.533980846,1.639838576,12
0.797,1.533980846,1.641679525,12
